Network Management Card AOS v6.4.6
RPDU 2g APP v6.4.6
NMC Serial Number: ZA1817026881

Model Number: AP8858EU3
RPDU Serial Number: ZA1818021379
Hardware Revision: 02
NMC BM Version: 1.0.8

Date     	Time     	Name	Contact	Location	System IP
02/21/2024	03:06:07	apc064272	Unknown	Unknown	192.168.255.40

		RPDU 1* (SN:ZA1818021379)   	   	   	   	   	   	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A
02/21/2024	03:05:25	0.00	0.00	9510.0	   	   	0.0	0.0	
02/21/2024	02:42:03	0.00	0.00	9510.0	   	   	0.0	0.0	
02/21/2024	02:31:46	0.00	0.00	9510.0	   	   	0.0	0.0	
02/21/2024	02:16:53	0.00	0.00	9510.0	   	   	0.0	0.0	
02/21/2024	02:06:53	0.00	0.00	9510.0	   	   	0.0	0.0	
06/19/2021	04:46:44	0.00	0.00	9510.0	   	   	0.0	0.0	
06/19/2021	04:36:44	0.00	0.00	9510.0	   	   	0.0	0.0	
06/19/2021	04:26:44	0.00	0.00	9510.0	   	   	0.0	0.0	
06/19/2021	04:16:44	0.00	0.29	9510.0	   	   	0.0	1.6	
06/19/2021	04:06:44	0.23	0.23	9510.0	   	   	1.5	1.5	
06/19/2021	03:56:44	0.23	0.23	9509.9	   	   	1.5	1.5	
06/19/2021	03:46:44	0.23	0.23	9509.9	   	   	1.5	1.5	
06/19/2021	03:36:44	0.23	0.23	9509.9	   	   	1.5	1.5	
06/19/2021	03:26:44	0.23	0.23	9509.8	   	   	1.5	1.5	
06/19/2021	03:16:43	0.23	0.23	9509.8	   	   	1.5	1.5	
06/19/2021	03:06:43	0.23	0.23	9509.8	   	   	1.5	1.5	
06/19/2021	02:56:43	0.23	0.23	9509.7	   	   	1.5	1.5	
06/19/2021	02:46:43	0.23	0.23	9509.7	   	   	1.5	1.5	
06/19/2021	02:36:43	0.23	0.23	9509.6	   	   	1.5	1.5	
06/19/2021	02:26:43	0.23	0.23	9509.6	   	   	1.5	1.5	
06/19/2021	02:16:43	0.23	0.23	9509.6	   	   	1.5	1.5	
06/19/2021	02:06:43	0.23	0.23	9509.5	   	   	1.5	1.5	
06/19/2021	01:56:43	0.23	0.23	9509.5	   	   	1.5	1.5	
06/19/2021	01:46:43	0.23	0.23	9509.5	   	   	1.5	1.5	
06/19/2021	01:36:43	0.23	0.23	9509.4	   	   	1.5	1.5	
06/19/2021	01:26:43	0.23	0.23	9509.4	   	   	1.5	1.5	
06/19/2021	01:16:43	0.23	0.23	9509.3	   	   	1.5	1.5	
06/19/2021	01:06:43	0.23	0.23	9509.3	   	   	1.5	1.5	
06/19/2021	00:56:43	0.23	0.23	9509.3	   	   	1.5	1.5	
06/19/2021	00:46:43	0.23	0.23	9509.2	   	   	1.5	1.5	
06/19/2021	00:36:43	0.23	0.24	9509.2	   	   	1.5	1.6	
06/19/2021	00:26:43	0.23	0.24	9509.2	   	   	1.5	1.6	
06/19/2021	00:16:43	0.23	0.23	9509.1	   	   	1.5	1.5	
06/19/2021	00:06:43	0.23	0.23	9509.1	   	   	1.5	1.5	
06/18/2021	23:56:43	0.23	0.23	9509.0	   	   	1.5	1.5	
06/18/2021	23:46:43	0.23	0.23	9509.0	   	   	1.5	1.5	
06/18/2021	23:36:43	0.23	0.23	9509.0	   	   	1.5	1.5	
06/18/2021	23:26:43	0.23	0.23	9508.9	   	   	1.5	1.5	
06/18/2021	23:16:43	0.23	0.23	9508.9	   	   	1.5	1.5	
06/18/2021	23:06:43	0.23	0.23	9508.8	   	   	1.5	1.5	
06/18/2021	22:56:43	0.23	0.23	9508.8	   	   	1.5	1.5	
06/18/2021	22:46:43	0.23	0.23	9508.8	   	   	1.5	1.5	
06/18/2021	22:36:43	0.23	0.23	9508.7	   	   	1.5	1.5	
06/18/2021	22:26:42	0.23	0.23	9508.7	   	   	1.5	1.5	
06/18/2021	22:16:42	0.23	0.23	9508.7	   	   	1.5	1.5	
06/18/2021	22:06:42	0.23	0.23	9508.6	   	   	1.5	1.5	
06/18/2021	21:56:42	0.23	0.23	9508.6	   	   	1.5	1.5	
06/18/2021	21:46:42	0.23	0.23	9508.5	   	   	1.5	1.5	
06/18/2021	21:36:42	0.23	0.23	9508.5	   	   	1.5	1.5	
06/18/2021	21:26:42	0.23	0.24	9508.5	   	   	1.5	1.6	
06/18/2021	21:16:42	0.23	0.23	9508.4	   	   	1.5	1.5	
06/18/2021	21:06:42	0.23	0.23	9508.4	   	   	1.5	1.5	
06/18/2021	20:56:42	0.23	0.23	9508.4	   	   	1.5	1.5	
06/18/2021	20:46:42	0.23	0.23	9508.3	   	   	1.5	1.5	
06/18/2021	20:36:42	0.23	0.23	9508.3	   	   	1.5	1.5	
06/18/2021	20:26:42	0.23	0.23	9508.2	   	   	1.5	1.5	
06/18/2021	20:16:42	0.23	0.23	9508.2	   	   	1.5	1.5	
06/18/2021	20:06:42	0.23	0.23	9508.2	   	   	1.5	1.5	
06/18/2021	19:56:42	0.23	0.23	9508.1	   	   	1.5	1.5	
06/18/2021	19:46:42	0.23	0.23	9508.1	   	   	1.5	1.5	
06/18/2021	19:36:42	0.23	0.23	9508.1	   	   	1.5	1.5	
06/18/2021	19:26:42	0.23	0.23	9508.0	   	   	1.5	1.5	
06/18/2021	19:16:42	0.23	0.23	9508.0	   	   	1.5	1.5	
06/18/2021	19:06:42	0.23	0.23	9507.9	   	   	1.5	1.5	
06/18/2021	18:56:42	0.23	0.23	9507.9	   	   	1.5	1.5	
06/18/2021	18:46:42	0.23	0.23	9507.9	   	   	1.5	1.5	
06/18/2021	18:36:42	0.23	0.23	9507.8	   	   	1.5	1.5	
06/18/2021	18:26:42	0.23	0.23	9507.8	   	   	1.5	1.5	
06/18/2021	18:16:42	0.23	0.23	9507.7	   	   	1.5	1.5	
06/18/2021	18:06:42	0.23	0.23	9507.7	   	   	1.5	1.5	
06/18/2021	17:56:42	0.23	0.23	9507.7	   	   	1.5	1.5	
06/18/2021	17:46:42	0.23	0.23	9507.6	   	   	1.5	1.5	
06/18/2021	17:36:41	0.23	0.23	9507.6	   	   	1.5	1.5	
06/18/2021	17:26:41	0.23	0.23	9507.6	   	   	1.5	1.5	
06/18/2021	17:16:41	0.23	0.23	9507.5	   	   	1.5	1.5	
06/18/2021	17:06:41	0.23	0.23	9507.5	   	   	1.5	1.5	
06/18/2021	16:56:41	0.23	0.23	9507.4	   	   	1.5	1.5	
06/18/2021	16:46:41	0.23	0.23	9507.4	   	   	1.5	1.5	
06/18/2021	16:36:41	0.23	0.23	9507.4	   	   	1.5	1.5	
06/18/2021	16:26:41	0.23	0.23	9507.3	   	   	1.5	1.5	
06/18/2021	16:16:41	0.23	0.23	9507.3	   	   	1.5	1.5	
06/18/2021	16:06:41	0.23	0.23	9507.3	   	   	1.5	1.5	
06/18/2021	15:56:41	0.23	0.23	9507.2	   	   	1.5	1.5	
06/18/2021	15:46:41	0.23	0.23	9507.2	   	   	1.5	1.5	
06/18/2021	15:36:41	0.23	0.23	9507.1	   	   	1.5	1.5	
06/18/2021	15:26:41	0.23	0.23	9507.1	   	   	1.5	1.5	
06/18/2021	15:16:41	0.23	0.23	9507.1	   	   	1.5	1.5	
06/18/2021	15:06:41	0.23	0.23	9507.0	   	   	1.5	1.5	
06/18/2021	14:56:41	0.23	0.23	9507.0	   	   	1.5	1.5	
06/18/2021	14:46:41	0.23	0.23	9507.0	   	   	1.5	1.5	
06/18/2021	14:36:41	0.23	0.23	9506.9	   	   	1.5	1.5	
06/18/2021	14:26:41	0.23	0.23	9506.9	   	   	1.5	1.5	
06/18/2021	14:16:41	0.23	0.23	9506.8	   	   	1.5	1.5	
06/18/2021	14:06:41	0.23	0.23	9506.8	   	   	1.5	1.5	
06/18/2021	13:56:41	0.23	0.23	9506.8	   	   	1.5	1.5	
06/18/2021	13:46:41	0.23	0.23	9506.7	   	   	1.5	1.5	
06/18/2021	13:36:41	0.23	0.23	9506.7	   	   	1.5	1.5	
06/18/2021	13:26:41	0.23	0.23	9506.6	   	   	1.5	1.5	
06/18/2021	13:16:40	0.23	0.23	9506.6	   	   	1.5	1.5	
06/18/2021	13:06:40	0.23	0.23	9506.6	   	   	1.5	1.5	
06/18/2021	12:56:40	0.23	0.23	9506.5	   	   	1.5	1.5	
06/18/2021	12:46:40	0.23	0.23	9506.5	   	   	1.5	1.5	
06/18/2021	12:36:40	0.23	0.23	9506.5	   	   	1.5	1.5	
06/18/2021	12:26:40	0.23	0.23	9506.4	   	   	1.5	1.5	
06/18/2021	12:16:40	0.23	0.23	9506.4	   	   	1.5	1.5	
