Network Management Card AOS v3.3.4
Rack PDU APP v3.3.3

Date     	Time     	Name	Contact	Location	System IP
02/27/2024	05:22:38	RackPDU	Unknown	Unknown	10.30.250.14

		Metered Rack PDU   	   	   	   	   	   	
Date	Time	I B1	I B2	IMax B1	IMax B2	IMin B1	IMin B2
02/27/2024	05:14:47	2.7	1.2	2.7	1.2	2.6	1.2	
02/27/2024	05:04:47	2.7	1.2	2.7	1.2	2.6	1.2	
02/27/2024	04:54:47	2.7	1.2	2.7	1.2	2.6	1.2	
02/27/2024	04:44:47	2.7	1.2	2.7	1.2	2.6	1.2	
02/27/2024	04:34:47	2.6	1.2	2.7	1.2	2.6	1.2	
02/27/2024	04:24:47	2.7	1.2	2.7	1.2	2.6	1.2	
02/27/2024	04:14:47	2.7	1.2	2.7	1.2	2.6	1.2	
02/27/2024	04:04:47	2.7	1.2	2.7	1.2	2.6	1.2	
02/27/2024	03:54:47	2.7	1.2	2.7	1.2	2.6	1.2	
02/27/2024	03:44:47	2.7	1.2	2.7	1.2	2.6	1.2	
02/27/2024	03:34:47	2.7	1.2	2.7	1.2	2.6	1.2	
02/27/2024	03:24:47	2.7	1.2	2.7	1.2	2.6	1.2	
02/27/2024	03:14:47	2.7	1.2	2.8	1.2	2.6	1.2	
02/27/2024	03:04:47	2.6	1.2	2.7	1.2	2.6	1.2	
02/27/2024	02:54:47	2.6	1.2	2.6	1.2	2.6	1.2	
02/27/2024	02:44:47	2.6	1.2	2.6	1.2	2.6	1.2	
02/27/2024	02:34:47	2.6	1.2	2.6	1.2	2.6	1.2	
02/27/2024	02:24:47	2.6	1.2	2.6	1.2	2.6	1.2	
02/27/2024	02:14:47	2.6	1.2	2.6	1.2	2.6	1.2	
02/27/2024	02:04:47	2.6	1.2	2.7	1.2	2.6	1.2	
02/27/2024	01:54:47	2.6	1.2	2.6	1.2	2.6	1.2	
02/27/2024	01:44:47	2.6	1.2	2.6	1.2	2.6	1.2	
02/27/2024	01:34:47	2.6	1.2	2.6	1.2	2.6	1.2	
02/27/2024	01:24:47	2.6	1.2	2.6	1.2	2.6	1.2	
02/27/2024	01:14:47	2.6	1.2	2.7	1.2	2.6	1.2	
02/27/2024	01:04:47	2.6	1.2	2.6	1.2	2.6	1.2	
02/27/2024	00:54:47	2.6	1.2	2.7	1.2	2.6	1.2	
02/27/2024	00:44:47	2.6	1.2	2.8	1.2	2.6	1.2	
02/27/2024	00:34:47	2.6	1.2	2.7	1.2	2.6	1.2	
02/27/2024	00:24:47	2.6	1.2	2.6	1.2	2.6	1.2	
02/27/2024	00:14:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/27/2024	00:04:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	23:54:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	23:44:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	23:34:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	23:24:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	23:14:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	23:04:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	22:54:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	22:44:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	22:34:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	22:24:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	22:14:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	22:04:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	21:54:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	21:44:46	2.6	1.2	2.6	1.2	2.5	1.2	
02/26/2024	21:34:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	21:24:46	2.6	1.2	2.6	1.3	2.6	1.2	
02/26/2024	21:14:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	21:04:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	20:54:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	20:44:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	20:34:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	20:24:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	20:14:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	20:04:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	19:54:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	19:44:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	19:34:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	19:24:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	19:14:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	19:04:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	18:54:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	18:44:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	18:34:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	18:24:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	18:14:46	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	18:04:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	17:54:46	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	17:44:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	17:34:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	17:24:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	17:14:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	17:04:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	16:54:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	16:44:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	16:34:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	16:24:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	16:14:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	16:04:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	15:54:46	2.6	1.2	2.6	1.3	2.6	1.2	
02/26/2024	15:44:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	15:34:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	15:24:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	15:14:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	15:04:46	2.6	1.2	2.6	1.3	2.6	1.2	
02/26/2024	14:54:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	14:44:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	14:34:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	14:24:46	2.6	1.2	2.6	1.3	2.6	1.2	
02/26/2024	14:14:46	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	14:04:45	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	13:54:45	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	13:44:45	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	13:34:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	13:24:45	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	13:14:45	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	13:04:45	2.6	1.2	2.6	1.3	2.6	1.2	
02/26/2024	12:54:45	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	12:44:45	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	12:34:45	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	12:24:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	12:14:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	12:04:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	11:54:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	11:44:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	11:34:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	11:24:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	11:14:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	11:04:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	10:54:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	10:44:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	10:34:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	10:24:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	10:14:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	10:04:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	09:54:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	09:44:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	09:34:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	09:24:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	09:14:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	09:04:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	08:54:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	08:44:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	08:34:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	08:24:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	08:14:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	08:04:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	07:54:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	07:44:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	07:34:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	07:24:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	07:14:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	07:04:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	06:54:45	2.7	1.2	2.7	1.3	2.6	1.2	
02/26/2024	06:44:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	06:34:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	06:24:45	2.7	1.2	2.7	1.3	2.6	1.2	
02/26/2024	06:14:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	06:04:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	05:54:45	2.7	1.2	2.8	1.3	2.6	1.2	
02/26/2024	05:44:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	05:34:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	05:24:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	05:14:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	05:04:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	04:54:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	04:44:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	04:34:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	04:24:45	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	04:14:45	2.7	1.2	2.7	1.2	2.6	1.2	
02/26/2024	04:04:44	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	03:54:44	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	03:44:44	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	03:34:44	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	03:24:44	2.6	1.2	2.8	1.2	2.6	1.2	
02/26/2024	03:14:44	2.7	1.2	2.8	1.2	2.6	1.2	
02/26/2024	03:04:44	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	02:54:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	02:44:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	02:34:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	02:24:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	02:14:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	02:04:44	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	01:54:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	01:44:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	01:34:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	01:24:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	01:14:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	01:04:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	00:54:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	00:44:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	00:34:44	2.6	1.2	2.7	1.2	2.6	1.2	
02/26/2024	00:24:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	00:14:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/26/2024	00:04:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	23:54:44	2.6	1.2	2.6	1.3	2.6	1.2	
02/25/2024	23:44:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	23:34:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	23:24:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	23:14:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	23:04:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	22:54:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	22:44:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	22:34:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	22:24:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	22:14:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	22:04:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	21:54:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	21:44:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	21:34:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	21:24:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	21:14:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	21:04:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	20:54:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	20:44:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	20:34:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	20:24:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	20:14:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	20:04:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	19:54:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	19:44:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	19:34:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	19:24:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	19:14:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	19:04:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	18:54:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	18:44:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	18:34:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	18:24:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	18:14:44	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	18:04:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	17:54:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	17:44:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	17:34:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	17:24:43	2.6	1.2	2.6	1.3	2.6	1.2	
02/25/2024	17:14:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	17:04:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	16:54:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	16:44:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	16:34:43	2.6	1.2	2.6	1.3	2.6	1.2	
02/25/2024	16:24:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	16:14:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	16:04:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	15:54:43	2.6	1.2	2.6	1.2	2.6	1.2	
02/25/2024	15:44:43	2.6	1.2	2.6	1.2	2.6	1.2	
